Frequency
392000
157000
78400
15700
7840
3420
1570
1370
684
137
68.4
25
13.7
10
5
1
0.5
0.31
0.124
0.1
0.062
0.0124
0.0062
0.00615
0.00246
0.00124
0.00123
0.000246
0.000123
0.0000246
